Estado,Total,Hombres,Mujeres,Abreviatura
Aguascalientes,1184996,576638,608358,AS
Baja California,3155070,1591610,1563460,BC
Baja California Sur,637026,325433,311593,BS
Campeche,822441,407721,414720,CC
Coahuila de Zaragoza,2748391,1364197,1384194,CL
Colima,650555,322790,327765,CM
Chiapas,4796580,2352807,2443773,CS
Chihuahua,3406465,1692545,1713920,CH
Ciudad de México,8851080,4233783,4617297,DF
Durango,1632934,803890,829044,DG
Guanajuato,5486372,2639425,2846947,GT
Guerrero,3388768,1645561,1743207,GR
Hidalgo,2665018,1285222,1379796,HG
Jalisco,7350682,3600641,3750041,JC
México,15175862,7396986,7778876,MC
Michoacán,4351037,2102109,2248928,MN
Morelos,1777227,858588,918639,MS
Nayarit,1084979,541007,543972,NT
Nuevo León,4653458,2320185,2333273,NL
Oaxaca,3801962,1819008,1982954,OC
Puebla,5779829,2769855,3009974,PL
Querétaro,1827937,887188,940749,QT
Quintana Roo,1325578,673220,652358,QR
San Luis Potosí,2585518,1260366,1325152,SP
Sinaloa,2767761,1376201,1391560,SL
Sonora,2662480,1339612,1322868,SR
Tabasco,2238603,1100758,1137845,TC
Tamaulipas,3268554,1616201,1652353,TS
Tlaxcala,1169936,565775,604161,TL
Veracruz,7643194,3695679,3947515,VZ
Yucatán,1955577,963333,992244,YN
Zacatecas,1490668,726897,763771,ZS
Total,112336538,54855231,57481307,EUM
